invoice_no,stock_code,description,category,quantity,invoice_date,unit_price_GBP,revenue_GBP,customer_id,country,current_stock,reorder_point,lead_time_days,stock_status
548471,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,5,2009-12-01,1.75,8.73,C12196,United Kingdom,163,71,12,Adequate
552008,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,14,2009-12-01,1.15,16.1,C18688,United Kingdom,237,65,5,Adequate
565382,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,7,2009-12-01,1.21,8.49,C10749,United Kingdom,237,65,5,Adequate
539882,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,64,2009-12-01,1.23,78.66,C14102,United Kingdom,108,85,6,Adequate
578536,S10010,SET 7 BABUSHKA NESTING BOXES,Toys,1,2009-12-01,6.91,6.91,C16101,United Kingdom,196,86,18,Adequate
574495,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,3,2009-12-01,1.31,3.92,C11046,United Kingdom,108,85,6,Adequate
515515,S10013,VINTAGE UNION JACK MEMOBOARD,Stationery,3,2009-12-01,4.07,12.2,C11979,United Kingdom,52,71,8,Low
561377,S10017,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,14,2009-12-01,2.04,28.57,C16233,United Kingdom,280,35,16,Adequate
553147,S10017,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,7,2009-12-02,1.75,12.27,C13601,Belgium,280,35,16,Adequate
565139,S10015,PINK CHERRY LIGHTS,Lighting,1,2009-12-02,6.99,6.99,C16004,United Kingdom,107,31,4,Adequate
522719,S10008,KNITTED UNION FLAG HOT WATER BOTTLE,Gifts,3,2009-12-02,3.61,10.84,C14799,United Kingdom,128,80,3,Adequate
539039,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,7,2009-12-02,1.67,11.68,C14237,United Kingdom,163,71,12,Adequate
580398,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,172,2009-12-02,3.29,566.55,C11048,United Kingdom,275,90,18,Adequate
553060,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,5,2009-12-02,3.07,15.37,C10761,United Kingdom,275,90,18,Adequate
588490,S10012,HAND WARMER UNION JACK,Gifts,3,2009-12-02,1.95,5.86,C12735,United Kingdom,254,60,3,Adequate
533912,S10003,PARTY BUNTING,Party,7,2009-12-02,4.95,34.62,C13622,United Kingdom,229,56,6,Adequate
579318,S10012,HAND WARMER UNION JACK,Gifts,3,2009-12-02,1.78,5.35,C11401,United Kingdom,254,60,3,Adequate
553092,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,7,2009-12-03,2.79,19.52,C17379,United Kingdom,189,53,4,Adequate
530405,S10012,HAND WARMER UNION JACK,Gifts,5,2009-12-03,1.86,9.32,C19348,United Kingdom,254,60,3,Adequate
524016,S10004,LUNCH BAG RED RETROSPOT,Bags,10,2009-12-03,1.66,16.64,C17792,United Kingdom,154,86,9,Adequate
574472,S10007,CREAM CUPID HEARTS COAT HANGER,Home Decor,43,2009-12-03,2.72,116.97,C13148,United Kingdom,189,53,4,Adequate
520269,S10003,PARTY BUNTING,Party,3,2009-12-03,5.35,16.05,C14621,United Kingdom,229,56,6,Adequate
584898,S10017,JUMBO SHOPPER VINTAGE RED PAISLEY,Bags,18,2009-12-03,1.84,33.08,C13006,United Kingdom,280,35,16,Adequate
523115,S10008,KNITTED UNION FLAG HOT WATER BOTTLE,Gifts,43,2009-12-03,3.66,157.57,C18757,United Kingdom,128,80,3,Adequate
526974,S10003,PARTY BUNTING,Party,5,2009-12-03,5.09,25.45,C11788,United Kingdom,229,56,6,Adequate
582727,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,1,2009-12-03,1.27,1.27,C16828,United Kingdom,237,65,5,Adequate
570835,S10013,VINTAGE UNION JACK MEMOBOARD,Stationery,18,2009-12-03,3.77,67.83,C17665,United Kingdom,52,71,8,Low
512224,S10003,PARTY BUNTING,Party,14,2009-12-03,5.19,72.67,C10945,United Kingdom,229,56,6,Adequate
599274,S10019,BAKING SET 9 PIECE RETROSPOT,Kitchenware,3,2009-12-03,4.68,14.03,C12042,France,114,46,12,Adequate
515333,S10009,RED WOOLLY HOTTIE WHITE HEART,Gifts,5,2009-12-03,3.23,16.16,C17848,United Kingdom,275,90,18,Adequate
574806,S10004,LUNCH BAG RED RETROSPOT,Bags,7,2009-12-04,1.57,10.99,C18699,Belgium,154,86,9,Adequate
573239,S10012,HAND WARMER UNION JACK,Gifts,3,2009-12-04,1.89,5.67,C14225,United Kingdom,254,60,3,Adequate
537215,S10004,LUNCH BAG RED RETROSPOT,Bags,14,2009-12-04,1.58,22.05,C15191,United Kingdom,154,86,9,Adequate
563997,S10016,WOODEN PICTURE FRAME WHITE FINISH,Home Decor,10,2009-12-04,2.44,24.42,C14748,Germany,188,34,9,Adequate
554228,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,21,2009-12-04,1.78,37.37,C17678,United Kingdom,163,71,12,Adequate
514904,S10019,BAKING SET 9 PIECE RETROSPOT,Kitchenware,7,2009-12-04,4.72,33.04,C15245,Germany,114,46,12,Adequate
514898,S10011,GLASS STAR FROSTED T-LIGHT HOLDER,Home Decor,7,2009-12-04,4.1,28.68,C15882,United Kingdom,191,64,15,Adequate
561647,S10016,WOODEN PICTURE FRAME WHITE FINISH,Home Decor,10,2009-12-04,2.62,26.23,C19720,United Kingdom,188,34,9,Adequate
595521,S10000,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor,3,2009-12-04,1.28,3.85,C14609,United Kingdom,237,65,5,Adequate
522052,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,14,2009-12-04,1.78,24.86,C16622,France,163,71,12,Adequate
574809,S10014,STRAWBERRY CERAMIC TRINKET BOX,Ceramics,10,2009-12-05,1.11,11.08,C11033,France,108,85,6,Adequate
585584,S10012,HAND WARMER UNION JACK,Gifts,18,2009-12-05,1.88,33.85,C14566,United Kingdom,254,60,3,Adequate
544768,S10003,PARTY BUNTING,Party,14,2009-12-05,5.16,72.22,C17541,United Kingdom,229,56,6,Adequate
514572,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,10,2009-12-05,1.83,18.34,C18927,United Kingdom,163,71,12,Adequate
541443,S10004,LUNCH BAG RED RETROSPOT,Bags,3,2009-12-05,1.53,4.59,C17232,Australia,154,86,9,Adequate
516896,S10012,HAND WARMER UNION JACK,Gifts,43,2009-12-05,1.96,84.35,C12156,United Kingdom,254,60,3,Adequate
515233,S10005,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,5,2009-12-05,1.83,9.14,C17426,United Kingdom,163,71,12,Adequate
